抽せん日,候補_3桁,joint_prob,EV_net,hit,回号,date_key,候補_3桁_pick,EV_net_adj_pick,joint_prob_pick,予測番号,百,十,一,EV_gross,price,expected_payout,model_name,feature_set,gen_at,source,当選番号3
2025-11-17,965,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,965.0,9.0,6.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,966,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,966.0,9.0,6.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,968,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,968.0,9.0,6.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,969,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,969.0,9.0,6.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,970,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,970.0,9.0,7.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,940,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,940.0,9.0,4.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,971,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,971.0,9.0,7.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,972,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,972.0,9.0,7.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,973,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,973.0,9.0,7.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,974,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,974.0,9.0,7.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,975,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,975.0,9.0,7.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
