feature,importance,std
一の位_lag1,0.017996108949416334,0.006721923619204885
年度週,0.015564202334630338,0.007534987054878239
一の位_lag9,0.014105058365758745,0.0077668868787311805
十の位_lag10,0.012159533073929953,0.006285431898501981
一の位_lag2,0.01215953307392995,0.007131750145240843
十の位_lag2,0.010700389105058357,0.00694691481375763
ストレート_口数,0.010700389105058355,0.009481317456039846
一の位_last_freq_w90,0.010214007782101155,0.006133035123014828
一の位_last_freq_w200,0.00972762645914396,0.005502776507288303
月,0.009241245136186764,0.0033344623542806606
一の位_last_freq_w50,0.009241245136186758,0.004740658728019924
四半期_3,0.008754863813229567,0.00424017406959209
十の位_lag5,0.00875486381322956,0.0057549414232486535
百の位_last_freq_w90,0.00875486381322956,0.006946914813757634
十の位_lag3,0.008268482490272367,0.004536662963564595
十の位_expfreq_l100_a006,0.008268482490272365,0.004936231305978705
sum_10_14,0.007782101167315165,0.005147376091565352
一の位_lag8,0.007782101167315163,0.009727626459143967
十の位_diff1,0.00729571984435797,0.005305793830075738
十の位_lag1,0.007295719844357968,0.008353873559006644
百_十_diff,0.006809338521400775,0.0032262887065714
十の位_lag4,0.006809338521400771,0.00575494142324865
百の位_lag6,0.00680933852140077,0.007214200862933519
百の位_lag5,0.00680933852140077,0.004665205761977352
百の位_lag3,0.006809338521400768,0.006668924708561326
十の位_lag8,0.0063229571984435694,0.006721923619204891
最大-最小,0.005836575875486376,0.0047655442466598774
百の位_lag4,0.0058365758754863745,0.00727948907932673
百の位_lag10,0.0058365758754863745,0.009531088493319757
百の位_lag1,0.005350194552529176,0.0061330351230148294
百の位_lag9,0.004863813229571981,0.004240174069592099
百の位_十の位_pair_last_w90,0.004863813229571976,0.004665205761977351
四半期,0.004377431906614781,0.0030374503883260702
百の位_一の位_pair_last_w200,0.004377431906614781,0.004098321874113012
十の位_lag7,0.004377431906614779,0.006285431898501988
十_一_diff,0.004377431906614777,0.007644082512403551
十の位_last_freq_w90,0.004377431906614777,0.008353873559006644
一の位_adiff1,0.003891050583657584,0.006452577413142797
合計mod3,0.003891050583657577,0.0064525774131428
四半期_2,0.003891050583657577,0.0019455252918287938
最大,0.003404669260700382,0.006285431898501987
一の位_expfreq_l100_a006,0.0034046692607003805,0.0094187338185978
ミニ_口数,0.0034046692607003805,0.007644082512403554
一の位_diff1,0.0034046692607003805,0.00788777954291189
一の位_last_freq_w30,0.0029182879377431786,0.006946914813757635
十の位_adiff1,0.002431906614785987,0.003860532068674015
十の位_一の位_pair_last_w50,0.0019455252918287869,0.0019455252918287869
十の位_lag6,0.0019455252918287869,0.007014691197400759
百の位_十の位_pair_last_w50,0.0019455252918287869,0.0019455252918287869
ダブル,0.0019455252918287869,0.0019455252918287869
百の位_adiff1,0.0014591439688715901,0.006434220114456689
合計,0.0014591439688715901,0.004323051759394745
百の位_diff1,0.0014591439688715867,0.004740658728019928
百_一_diff,0.0014591439688715815,0.006434220114456689
sum_20_24,0.0009727626459143934,0.001684874326428863
十の位_last_freq_w200,0.00097276264591439,0.0037674935274391234
百の位_last_freq_w10,0.00097276264591439,0.003767493527439123
sum_15_19,0.0009727626459143865,0.004240174069592097
百の位_expfreq_l100_a006,0.0009727626459143848,0.011133777375738908
十の位_連続同値カウント,0.0004863813229571967,0.0012868440228913332
十の位_一の位_pair_last_w90,0.00048638132295719325,0.004536662963564597
十の位_lag9,0.0004863813229571898,0.009617568060936377
四半期_4,0.0,0.0
百の位_gap_same_w100,0.0,0.0
連番フラグ,0.0,0.0
百の位_gap_same_w300,0.0,0.0
一の位_gap_same_w300,0.0,0.0
sum_ge25,0.0,0.0
十の位_gap_same_w200,0.0,0.0
十の位_gap_same_w300,0.0,0.0
一の位_連続同値カウント,0.0,0.0
十の位_gap_same_w100,0.0,0.0
一の位_gap_same_w100,0.0,0.0
ゾロ目フラグ,0.0,0.0
ゾロ目,0.0,0.0
一の位_gap_same_w200,0.0,0.0
百の位_連続同値カウント,0.0,0.0
百の位_十の位_pair_last_w30,0.0,0.0
百の位_gap_same_w200,0.0,0.0
一の位_last_freq_w10,0.0,0.0
