回号,抽せん日,当せん番号,ストレート_口数,ストレート_金額,ボックス_口数,ボックス_金額,セットS_口数,セットS_金額,セットB_口数,セットB_金額,ミニ_口数,ミニ_金額,パターン,百の位,十の位,一の位,合計,最大,最小,最大-最小,曜日_int,曜日,パターン_code
6173,2023-03-23,325,158,59900,515,9900,382,34900,1084,4900,534,5900,全て異なる,3,2,5,10,5,2,3,3,木曜日,0
6174,2023-03-24,484,177,72000,287,24000,189,48000,313,12000,1345,7200,2桁一致,4,8,4,16,8,4,4,4,金曜日,1
6175,2023-03-27,321,366,52200,780,8700,376,30400,1361,4300,909,5200,全て異なる,3,2,1,6,3,1,2,0,月曜日,0
6176,2023-03-28,137,67,88900,485,14800,190,51800,1104,7400,628,8800,全て異なる,1,3,7,11,7,1,6,1,火曜日,0
6177,2023-03-29,320,98,87500,408,14500,271,51000,795,7200,378,8700,全て異なる,3,2,0,5,3,0,3,2,水曜日,0
6178,2023-03-30,839,51,86900,564,14400,195,50600,1189,7200,710,8600,全て異なる,8,3,9,20,9,3,6,3,木曜日,0
6179,2023-03-31,694,85,80000,485,13300,281,46600,1147,6600,874,8000,全て異なる,6,9,4,19,9,4,5,4,金曜日,0
6180,2023-04-03,9,127,92300,347,30700,177,61500,426,15300,926,9200,2桁一致,0,0,9,9,9,0,9,0,月曜日,1
6181,2023-04-04,911,139,65100,383,21700,253,43400,509,10800,582,6500,2桁一致,9,1,1,11,9,1,8,1,火曜日,1
6182,2023-04-05,644,120,96800,212,32200,160,64500,259,16100,616,9600,2桁一致,6,4,4,14,6,4,2,2,水曜日,1
6183,2023-04-06,258,253,58300,561,9700,285,34000,1151,4800,710,5800,全て異なる,2,5,8,15,8,2,6,3,木曜日,0
6184,2023-04-07,278,78,81200,534,13500,239,47300,1193,6700,650,8100,全て異なる,2,7,8,17,8,2,6,4,金曜日,0
6185,2023-04-10,847,122,99000,421,16500,162,57700,984,8200,982,9900,全て異なる,8,4,7,19,8,4,4,0,月曜日,0
6186,2023-04-11,600,56,128800,180,42900,112,85800,186,21400,598,12800,2桁一致,6,0,0,6,6,0,6,1,火曜日,1
6187,2023-04-12,890,111,56200,869,9300,295,32700,2200,4600,510,5600,全て異なる,8,9,0,17,9,0,9,2,水曜日,0
6188,2023-04-13,101,146,75200,255,25000,223,50100,328,12500,546,7500,2桁一致,1,0,1,2,1,0,1,3,木曜日,1
6189,2023-04-14,543,58,113800,491,18900,148,66300,965,9400,658,11300,全て異なる,5,4,3,12,5,3,2,4,金曜日,0
6190,2023-04-17,72,66,103800,529,17300,247,60500,977,8600,845,10300,全て異なる,0,7,2,9,7,0,7,0,月曜日,0
6191,2023-04-18,188,204,73700,290,24500,134,49100,407,12200,740,7300,2桁一致,1,8,8,17,8,1,7,1,火曜日,1
6192,2023-04-19,733,61,107200,216,35700,106,71400,317,17800,983,10700,2桁一致,7,3,3,13,7,3,4,2,水曜日,1
6193,2023-04-20,423,115,69800,528,11600,289,40700,1092,5800,800,6900,全て異なる,4,2,3,9,4,2,2,3,木曜日,0
6194,2023-04-21,962,55,98500,524,16400,182,57400,1197,8200,634,9800,全て異なる,9,6,2,17,9,2,7,4,金曜日,0
6195,2023-04-24,178,298,54400,769,9000,429,31700,1405,4500,943,5400,全て異なる,1,7,8,16,8,1,7,0,月曜日,0
6196,2023-04-25,273,71,73400,583,12200,221,42800,1474,6100,833,7300,全て異なる,2,7,3,12,7,2,5,1,火曜日,0
6197,2023-04-26,799,58,130200,194,43400,94,86800,199,21700,705,13000,2桁一致,7,9,9,25,9,7,2,2,水曜日,1
6198,2023-04-27,958,79,93800,488,15600,208,54700,994,7800,559,9300,全て異なる,9,5,8,22,9,5,4,3,木曜日,0
6199,2023-04-28,953,90,96100,485,16000,203,56000,1055,8000,739,9600,全て異なる,9,5,3,17,9,3,6,4,金曜日,0
6200,2023-05-01,237,291,68800,730,11400,227,40100,1479,5700,1249,6800,全て異なる,2,3,7,12,7,2,5,0,月曜日,0
6201,2023-05-02,372,290,63500,555,10500,228,37000,1169,5200,417,6300,全て異なる,3,7,2,12,7,2,5,1,火曜日,0
6202,2023-05-03,828,108,78700,239,26200,266,52400,271,13100,778,7800,2桁一致,8,2,8,18,8,2,6,2,水曜日,1
6203,2023-05-04,19,60,100000,424,16600,149,58300,1042,8300,731,10000,全て異なる,0,1,9,10,9,0,9,3,木曜日,0
6204,2023-05-05,788,66,120300,224,40100,115,80200,274,20000,697,12000,2桁一致,7,8,8,23,8,7,1,4,金曜日,1
6205,2023-05-08,734,78,96500,583,16000,210,56200,1222,8000,1168,9600,全て異なる,7,3,4,14,7,3,4,0,月曜日,0
6206,2023-05-09,675,65,102700,421,17100,151,59900,867,8500,913,10200,全て異なる,6,7,5,18,7,5,2,1,火曜日,0
6207,2023-05-10,746,51,95000,422,15800,222,55400,1049,7900,898,9500,全て異なる,7,4,6,17,7,4,3,2,水曜日,0
6208,2023-05-11,218,84,82900,506,13800,246,48300,1205,6900,801,8200,全て異なる,2,1,8,11,8,1,7,3,木曜日,0
6209,2023-05-12,140,46,110300,471,18300,151,64300,1128,9100,943,11000,全て異なる,1,4,0,5,4,0,4,4,金曜日,0
6210,2023-05-15,55,99,93500,272,31100,154,62300,399,15500,1567,9300,2桁一致,0,5,5,10,5,0,5,0,月曜日,1
