回号,抽せん日,当せん番号,ストレート_口数,ストレート_金額,ボックス_口数,ボックス_金額,セットS_口数,セットS_金額,セットB_口数,セットB_金額,ミニ_口数,ミニ_金額,パターン,百の位,十の位,一の位,合計,最大,最小,最大-最小,曜日_int,曜日,パターン_code
6289,2023-09-01,781,158,88700,568,14700,126,51700,1169,7300,614,8800,全て異なる,7,8,1,16,8,1,7,4,金曜日,0
6290,2023-09-04,940,86,95100,601,15800,195,55400,1354,7900,818,9500,全て異なる,9,4,0,13,9,0,9,0,月曜日,0
6291,2023-09-05,7,96,99500,246,33100,157,66300,328,16500,349,9900,2桁一致,0,0,7,7,7,0,7,1,火曜日,1
6292,2023-09-06,117,263,41200,433,13700,487,27400,571,6800,765,4100,2桁一致,1,1,7,9,7,1,6,2,水曜日,1
6293,2023-09-07,164,95,83700,493,13900,248,48800,975,6900,464,8300,全て異なる,1,6,4,11,6,1,5,3,木曜日,0
6294,2023-09-08,928,103,74100,450,12300,329,43200,1048,6100,598,7400,全て異なる,9,2,8,19,9,2,7,4,金曜日,0
6295,2023-09-11,286,168,78600,631,13100,224,45800,1271,6500,599,7800,全て異なる,2,8,6,16,8,2,6,0,月曜日,0
6296,2023-09-12,917,126,67000,524,11100,322,39000,1039,5500,436,6700,全て異なる,9,1,7,17,9,1,8,1,火曜日,0
6297,2023-09-13,751,71,79100,584,13100,168,46100,1298,6500,907,7900,全て異なる,7,5,1,13,7,1,6,2,水曜日,0
6298,2023-09-14,580,62,99400,407,16500,176,57900,873,8200,601,9900,全て異なる,5,8,0,13,8,0,8,3,木曜日,0
6299,2023-09-15,579,173,75400,470,12500,217,43900,901,6200,712,7500,全て異なる,5,7,9,21,9,5,4,4,金曜日,0
6300,2023-09-18,577,77,103500,325,34500,138,69000,356,17200,702,10300,2桁一致,5,7,7,19,7,5,2,0,月曜日,1
6301,2023-09-19,484,48,114200,223,38000,122,76100,327,19000,436,11400,2桁一致,4,8,4,16,8,4,4,1,火曜日,1
6302,2023-09-20,669,113,88000,270,29300,180,58600,277,14600,460,8800,2桁一致,6,6,9,21,9,6,3,2,水曜日,1
6303,2023-09-21,876,47,94200,473,15700,198,54900,998,7800,473,9400,全て異なる,8,7,6,21,8,6,2,3,木曜日,0
6304,2023-09-22,17,265,67500,402,11200,195,39300,934,5600,542,6700,全て異なる,0,1,7,8,7,0,7,4,金曜日,0
6305,2023-09-25,951,96,86400,602,14400,221,50400,1238,7200,945,8600,全て異なる,9,5,1,15,9,1,8,0,月曜日,0
6306,2023-09-26,251,75,104300,432,17300,123,60800,1028,8600,795,10400,全て異なる,2,5,1,8,5,1,4,1,火曜日,0
6307,2023-09-27,305,67,90400,467,15000,234,52700,935,7500,418,9000,全て異なる,3,0,5,8,5,0,5,2,水曜日,0
6308,2023-09-28,184,58,98900,445,16400,163,57600,1092,8200,474,9800,全て異なる,1,8,4,13,8,1,7,3,木曜日,0
6309,2023-09-29,103,177,72400,482,12000,265,42200,985,6000,503,7200,全て異なる,1,0,3,4,3,0,3,4,金曜日,0
6310,2023-10-02,951,81,108200,533,18000,165,63100,1094,9000,700,10800,全て異なる,9,5,1,15,9,1,8,0,月曜日,0
6311,2023-10-03,220,73,110200,224,36700,139,73400,254,18300,510,11000,2桁一致,2,2,0,4,2,0,2,1,火曜日,1
6312,2023-10-04,484,72,107300,197,35700,140,71500,280,17800,590,10700,2桁一致,4,8,4,16,8,4,4,2,水曜日,1
6313,2023-10-05,68,229,76800,380,12800,151,44800,748,6400,551,7600,全て異なる,0,6,8,14,8,0,8,3,木曜日,0
6314,2023-10-06,235,92,81900,529,13600,227,47700,1160,6800,727,8100,全て異なる,2,3,5,10,5,2,3,4,金曜日,0
6315,2023-10-09,209,92,101600,419,16900,142,59200,888,8400,800,10100,全て異なる,2,0,9,11,9,0,9,0,月曜日,0
6316,2023-10-10,414,108,93500,198,31100,151,62300,238,15500,520,9300,2桁一致,4,1,4,9,4,1,3,1,火曜日,1
6317,2023-10-11,590,286,65300,371,10800,152,38000,914,5400,508,6500,全て異なる,5,9,0,14,9,0,9,2,水曜日,0
6318,2023-10-12,550,88,104900,233,34900,122,69900,343,17400,442,10400,2桁一致,5,5,0,10,5,0,5,3,木曜日,1
6319,2023-10-13,549,156,60000,677,10000,338,35000,1481,5000,963,6000,全て異なる,5,4,9,18,9,4,5,4,金曜日,0
6320,2023-10-16,149,70,101500,618,16900,187,59200,1418,8400,701,10100,全て異なる,1,4,9,14,9,1,8,0,月曜日,0
6321,2023-10-17,844,45,107000,270,35600,107,71300,408,17800,892,10700,2桁一致,8,4,4,16,8,4,4,1,火曜日,1
6322,2023-10-18,373,110,71000,368,23600,254,47300,449,11800,593,7100,2桁一致,3,7,3,13,7,3,4,2,水曜日,1
6323,2023-10-19,985,36,109200,472,18200,134,63700,1064,9100,584,10900,全て異なる,9,8,5,22,9,5,4,3,木曜日,0
6324,2023-10-20,712,91,75300,635,12500,267,43900,1407,6200,635,7500,全て異なる,7,1,2,10,7,1,6,4,金曜日,0
6325,2023-10-23,110,190,84000,297,28000,218,56000,328,14000,826,8400,2桁一致,1,1,0,2,1,0,1,0,月曜日,1
6326,2023-10-24,509,88,76900,409,12800,257,44800,783,6400,797,7600,全て異なる,5,0,9,14,9,0,9,1,火曜日,0
6327,2023-10-25,880,68,106600,231,35500,157,71000,342,17700,444,10600,2桁一致,8,8,0,16,8,0,8,2,水曜日,1
6328,2023-10-26,878,72,124600,192,41500,127,83000,215,20700,537,12400,2桁一致,8,7,8,23,8,7,1,3,木曜日,1
6329,2023-10-27,374,103,77800,587,12900,297,45300,1025,6400,593,7700,全て異なる,3,7,4,14,7,3,4,4,金曜日,0
6330,2023-10-30,400,90,102100,259,34000,175,68000,295,17000,1054,10200,2桁一致,4,0,0,4,4,0,4,0,月曜日,1
6331,2023-10-31,645,93,98000,428,16300,155,57100,780,8100,565,9800,全て異なる,6,4,5,15,6,4,2,1,火曜日,0
6332,2023-11-01,208,74,93100,425,15500,228,54300,977,7700,636,9300,全て異なる,2,0,8,10,8,0,8,2,水曜日,0
6333,2023-11-02,840,73,93300,508,15500,194,54400,1079,7700,535,9300,全て異なる,8,4,0,12,8,0,8,3,木曜日,0
6334,2023-11-03,6,59,128000,251,42600,114,85300,254,21300,395,12800,2桁一致,0,0,6,6,6,0,6,4,金曜日,1
6335,2023-11-06,282,73,111400,317,37100,138,74200,497,18500,551,11100,2桁一致,2,8,2,12,8,2,6,0,月曜日,1
6336,2023-11-07,595,58,100600,260,33500,184,67000,287,16700,481,10000,2桁一致,5,9,5,19,9,5,4,1,火曜日,1
6337,2023-11-08,114,245,61400,253,20400,277,40900,338,10200,654,6100,2桁一致,1,1,4,6,4,1,3,2,水曜日,1
6338,2023-11-09,866,63,93400,244,31100,150,62200,340,15500,1050,9300,2桁一致,8,6,6,20,8,6,2,3,木曜日,1
6339,2023-11-10,60,188,84900,259,28300,153,56600,313,14100,448,8400,2桁一致,0,6,0,6,6,0,6,4,金曜日,1
6340,2023-11-13,566,69,129600,222,43200,116,86400,272,21600,671,12900,2桁一致,5,6,6,17,6,5,1,0,月曜日,1
6341,2023-11-14,208,54,105600,373,17600,190,61600,838,8800,408,10500,全て異なる,2,0,8,10,8,0,8,1,火曜日,0
6342,2023-11-15,802,93,86300,404,14300,224,50300,968,7100,491,8600,全て異なる,8,0,2,10,8,0,8,2,水曜日,0
6343,2023-11-16,105,350,54200,428,9000,279,31600,927,4500,419,5400,全て異なる,1,0,5,6,5,0,5,3,木曜日,0
6344,2023-11-17,158,71,97400,416,16200,170,56800,1034,8100,541,9700,全て異なる,1,5,8,14,8,1,7,4,金曜日,0
6345,2023-11-20,502,92,91000,577,15100,271,53000,1000,7500,784,9100,全て異なる,5,0,2,7,5,0,5,0,月曜日,0
6346,2023-11-21,109,125,71000,456,11800,293,41400,870,5900,653,7100,全て異なる,1,0,9,10,9,0,9,1,火曜日,0
6347,2023-11-22,584,65,106200,390,17700,142,61900,932,8800,557,10600,全て異なる,5,8,4,17,8,4,4,2,水曜日,0
6348,2023-11-23,443,64,116800,171,38900,135,77800,254,19400,457,11600,2桁一致,4,4,3,11,4,3,1,3,木曜日,1
6349,2023-11-24,470,376,63100,405,10500,139,36800,945,5200,495,6300,全て異なる,4,7,0,11,7,0,7,4,金曜日,0
6350,2023-11-27,770,110,89500,340,29800,223,59600,403,14900,456,8900,2桁一致,7,7,0,14,7,0,7,0,月曜日,1
6351,2023-11-28,41,46,115000,415,19100,122,67000,915,9500,421,11500,全て異なる,0,4,1,5,4,0,4,1,火曜日,0
6352,2023-11-29,949,302,70600,194,23500,127,47000,254,11700,431,7000,2桁一致,9,4,9,22,9,4,5,2,水曜日,1
6353,2023-11-30,60,35,125600,257,41800,117,83700,296,20900,360,12500,2桁一致,0,6,0,6,6,0,6,3,木曜日,1
6354,2023-12-01,82,69,90100,646,15000,174,52500,1609,7500,399,9000,全て異なる,0,8,2,10,8,0,8,4,金曜日,0
6355,2023-12-04,511,197,74100,375,24700,228,49400,537,12300,793,7400,2桁一致,5,1,1,7,5,1,4,0,月曜日,1
6356,2023-12-05,557,85,96200,234,32000,180,64100,278,16000,476,9600,2桁一致,5,5,7,17,7,5,2,1,火曜日,1
6357,2023-12-06,204,112,74400,553,12400,237,43400,1128,6200,742,7400,全て異なる,2,0,4,6,4,0,4,2,水曜日,0
6358,2023-12-07,384,383,58200,335,9700,185,33900,820,4800,587,5800,全て異なる,3,8,4,15,8,3,5,3,木曜日,0
6359,2023-12-08,183,117,82400,652,13700,200,48000,1419,6800,450,8200,全て異なる,1,8,3,12,8,1,7,4,金曜日,0
6360,2023-12-11,558,477,59600,289,19800,167,39700,251,9900,1116,5900,2桁一致,5,5,8,18,8,5,3,0,月曜日,1
6361,2023-12-12,544,78,93700,249,31200,149,62400,376,15600,765,9300,2桁一致,5,4,4,13,5,4,1,1,火曜日,1
6362,2023-12-13,104,131,72300,460,12000,329,42100,841,6000,968,7200,全て異なる,1,0,4,5,4,0,4,2,水曜日,0
6363,2023-12-14,169,58,86400,433,14400,272,50400,1201,7200,582,8600,全て異なる,1,6,9,16,9,1,8,3,木曜日,0
6364,2023-12-15,230,77,103400,457,17200,186,60300,992,8600,713,10300,全て異なる,2,3,0,5,3,0,3,4,金曜日,0
6365,2023-12-18,532,76,101600,653,16900,167,59200,1377,8400,861,10100,全て異なる,5,3,2,10,5,2,3,0,月曜日,0
6366,2023-12-19,118,213,61500,299,20500,357,41000,379,10200,516,6100,2桁一致,1,1,8,10,8,1,7,1,火曜日,1
6367,2023-12-20,153,118,69500,764,11500,243,40500,1740,5700,659,6900,全て異なる,1,5,3,9,5,1,4,2,水曜日,0
6368,2023-12-21,304,332,61400,421,10200,249,35800,855,5100,791,6100,全て異なる,3,0,4,7,4,0,4,3,木曜日,0
6369,2023-12-22,850,60,111900,520,18600,150,65200,999,9300,534,11100,全て異なる,8,5,0,13,8,0,8,4,金曜日,0
6370,2023-12-25,49,132,88300,496,14700,243,51500,1031,7300,1340,8800,全て異なる,0,4,9,13,9,0,9,0,月曜日,0
6371,2023-12-26,906,89,97300,443,16200,216,56700,868,8100,567,9700,全て異なる,9,0,6,15,9,0,9,1,火曜日,0
6372,2023-12-27,451,126,67800,747,11300,285,39500,1650,5600,671,6700,全て異なる,4,5,1,10,5,1,4,2,水曜日,0
6373,2023-12-28,90,454,50500,405,16800,256,33600,514,8400,628,5000,2桁一致,0,9,0,9,9,0,9,3,木曜日,1
6374,2023-12-29,429,121,80200,495,13300,298,46700,1106,6600,1226,8000,全て異なる,4,2,9,15,9,2,7,4,金曜日,0
6375,2024-01-04,13,87,92600,654,15400,175,54000,1415,7700,750,9200,全て異なる,0,1,3,4,3,0,3,3,木曜日,0
6376,2024-01-05,491,372,57800,576,9600,210,33700,1257,4800,502,5700,全て異なる,4,9,1,14,9,1,8,4,金曜日,0
6377,2024-01-08,565,87,113600,268,37800,139,75700,346,18900,851,11300,2桁一致,5,6,5,16,6,5,1,0,月曜日,1
6378,2024-01-09,389,43,115000,431,19100,154,67000,930,9500,501,11500,全て異なる,3,8,9,20,9,3,6,1,火曜日,0
6379,2024-01-10,460,110,103300,395,17200,168,60200,819,8600,389,10300,全て異なる,4,6,0,10,6,0,6,2,水曜日,0
6380,2024-01-11,341,103,88700,525,14700,186,51700,1079,7300,452,8800,全て異なる,3,4,1,8,4,1,3,3,木曜日,0
6381,2024-01-12,919,125,96400,223,32100,190,64200,271,16000,519,9600,2桁一致,9,1,9,19,9,1,8,4,金曜日,1
6382,2024-01-15,833,96,106000,238,35300,139,70600,333,17600,1179,10600,2桁一致,8,3,3,14,8,3,5,0,月曜日,1
6383,2024-01-16,780,33,118300,381,19700,166,69000,944,9800,422,11800,全て異なる,7,8,0,15,8,0,8,1,火曜日,0
6384,2024-01-17,320,93,92500,402,15400,240,53900,817,7700,655,9200,全て異なる,3,2,0,5,3,0,3,2,水曜日,0
6385,2024-01-18,604,131,97400,373,16200,151,56800,818,8100,617,9700,全て異なる,6,0,4,10,6,0,6,3,木曜日,0
6386,2024-01-19,91,73,83800,730,13900,212,48800,1512,6900,446,8300,全て異なる,0,9,1,10,9,0,9,4,金曜日,0
6387,2024-01-22,385,137,61100,1017,10100,388,35600,1942,5000,596,6100,全て異なる,3,8,5,16,8,3,5,0,月曜日,0
6388,2024-01-23,715,122,69300,589,11500,287,40400,1104,5700,487,6900,全て異なる,7,1,5,13,7,1,6,1,火曜日,0
6389,2024-01-24,725,133,68400,531,11400,294,39900,1036,5700,546,6800,全て異なる,7,2,5,14,7,2,5,2,水曜日,0
6390,2024-01-25,796,46,121100,337,20100,140,70600,866,10000,553,12100,全て異なる,7,9,6,22,9,6,3,3,木曜日,0
6391,2024-01-26,101,245,73200,248,24400,241,48800,306,12200,504,7300,2桁一致,1,0,1,2,1,0,1,4,金曜日,1
6392,2024-01-29,419,101,82100,641,13600,317,47800,1139,6800,830,8200,全て異なる,4,1,9,14,9,1,8,0,月曜日,0
6393,2024-01-30,802,89,73600,535,12200,287,42900,1286,6100,514,7300,全て異なる,8,0,2,10,8,0,8,1,火曜日,0
6394,2024-01-31,723,169,57600,675,9600,400,33600,1201,4800,541,5700,全て異なる,7,2,3,12,7,2,5,2,水曜日,0
6395,2024-02-01,310,180,58900,637,9800,394,34300,1093,4900,608,5800,全て異なる,3,1,0,4,3,0,3,3,木曜日,0
6396,2024-02-02,546,84,109200,473,18200,142,63700,987,9100,520,10900,全て異なる,5,4,6,15,6,4,2,4,金曜日,0
6397,2024-02-05,458,83,89000,502,14800,282,51900,1034,7400,831,8900,全て異なる,4,5,8,17,8,4,4,0,月曜日,0
6398,2024-02-06,945,192,70100,377,11600,232,40800,946,5800,560,7000,全て異なる,9,4,5,18,9,4,5,1,火曜日,0
6399,2024-02-07,791,49,109900,480,18300,144,64100,1079,9100,427,10900,全て異なる,7,9,1,17,9,1,8,2,水曜日,0
6400,2024-02-08,948,80,104600,421,17400,151,61000,909,8700,571,10400,全て異なる,9,4,8,21,9,4,5,3,木曜日,0
6401,2024-02-09,706,68,119500,376,19900,145,69700,839,9900,644,11900,全て異なる,7,0,6,13,7,0,7,4,金曜日,0
6402,2024-02-12,916,408,57200,575,9500,404,33300,1175,4700,1839,5700,全て異なる,9,1,6,16,9,1,8,0,月曜日,0
6403,2024-02-13,55,64,101800,191,33900,151,67800,298,16900,737,10100,2桁一致,0,5,5,10,5,0,5,1,火曜日,1
6404,2024-02-14,692,176,90500,372,15000,127,52700,916,7500,370,9000,全て異なる,6,9,2,17,9,2,7,2,水曜日,0
6405,2024-02-15,963,102,66800,655,11100,335,38900,1576,5500,587,6600,全て異なる,9,6,3,18,9,3,6,3,木曜日,0
6406,2024-02-16,394,132,74700,653,12400,285,43500,1285,6200,512,7400,全て異なる,3,9,4,16,9,3,6,4,金曜日,0
6407,2024-02-19,920,116,90500,518,15000,311,52700,975,7500,585,9000,全て異なる,9,2,0,11,9,0,9,0,月曜日,0
6408,2024-02-20,541,125,77800,568,12900,221,45300,1298,6400,439,7700,全て異なる,5,4,1,10,5,1,4,1,火曜日,0
6409,2024-02-21,105,110,72400,533,12000,308,42200,943,6000,594,7200,全て異なる,1,0,5,6,5,0,5,2,水曜日,0
6410,2024-02-22,633,45,111600,232,37200,149,74400,320,18600,818,11100,2桁一致,6,3,3,12,6,3,3,3,木曜日,1
6411,2024-02-23,834,58,118700,413,19700,136,69200,822,9800,720,11800,全て異なる,8,3,4,15,8,3,5,4,金曜日,0
6412,2024-02-26,834,395,72100,497,12000,194,42000,872,6000,1070,7200,全て異なる,8,3,4,15,8,3,5,0,月曜日,0
6413,2024-02-27,358,332,34100,910,5600,758,19800,1391,2800,814,3400,全て異なる,3,5,8,16,8,3,5,1,火曜日,0
6414,2024-02-28,983,54,88900,619,14800,188,51800,1459,7400,477,8800,全て異なる,9,8,3,20,9,3,6,2,水曜日,0
6415,2024-02-29,414,94,107600,198,35800,166,71700,265,17900,520,10700,2桁一致,4,1,4,9,4,1,3,3,木曜日,1
6416,2024-03-01,367,61,115500,389,19200,185,67300,838,9600,728,11500,全て異なる,3,6,7,16,7,3,4,4,金曜日,0
6417,2024-03-04,17,348,64300,596,10700,284,37500,1245,5300,728,6400,全て異なる,0,1,7,8,7,0,7,0,月曜日,0
6418,2024-03-05,566,53,147300,141,49100,98,98200,221,24500,507,14700,2桁一致,5,6,6,17,6,5,1,1,火曜日,1
6419,2024-03-06,395,84,93100,436,15500,208,54300,1028,7700,567,9300,全て異なる,3,9,5,17,9,3,6,2,水曜日,0
6420,2024-03-07,956,118,75500,440,12500,214,44000,1036,6200,1223,7500,全て異なる,9,5,6,20,9,5,4,3,木曜日,0
6421,2024-03-08,810,136,79300,517,13200,296,46200,1030,6600,449,7900,全て異なる,8,1,0,9,8,0,8,4,金曜日,0
6422,2024-03-11,366,155,94700,241,31500,234,63100,351,15700,674,9400,2桁一致,3,6,6,15,6,3,3,0,月曜日,1
6423,2024-03-12,494,115,94000,183,31300,160,62600,351,15600,400,9400,2桁一致,4,9,4,17,9,4,5,1,火曜日,1
6424,2024-03-13,388,73,98000,239,32600,160,65300,309,16300,916,9800,2桁一致,3,8,8,19,8,3,5,2,水曜日,1
6425,2024-03-14,833,180,54500,376,18100,339,36300,398,9000,1121,5400,2桁一致,8,3,3,14,8,3,5,3,木曜日,1
6426,2024-03-15,957,117,113400,393,18900,193,66100,893,9400,533,11300,全て異なる,9,5,7,21,9,5,4,4,金曜日,0
6427,2024-03-18,378,362,56400,650,9400,311,32900,1235,4700,738,5600,全て異なる,3,7,8,18,8,3,5,0,月曜日,0
6428,2024-03-19,991,49,131500,230,43800,93,87600,338,21900,435,13100,2桁一致,9,9,1,19,9,1,8,1,火曜日,1
6429,2024-03-20,978,86,97400,411,16200,175,56800,903,8100,361,9700,全て異なる,9,7,8,24,9,7,2,2,水曜日,0
6430,2024-03-21,495,71,102200,421,17000,179,59600,933,8500,420,10200,全て異なる,4,9,5,18,9,4,5,3,木曜日,0
6431,2024-03-22,59,69,91300,469,15200,222,53200,1090,7600,738,9100,全て異なる,0,5,9,14,9,0,9,4,金曜日,0
6432,2024-03-25,391,95,83500,769,13900,202,48700,1519,6900,592,8300,全て異なる,3,9,1,13,9,1,8,0,月曜日,0
6433,2024-03-26,504,84,85100,413,14100,219,49600,876,7000,507,8500,全て異なる,5,0,4,9,5,0,5,1,火曜日,0
6434,2024-03-27,346,273,63400,449,10500,188,36900,1015,5200,739,6300,全て異なる,3,4,6,13,6,3,3,2,水曜日,0
6435,2024-03-28,578,83,96500,411,16000,189,56200,893,8000,456,9600,全て異なる,5,7,8,20,8,5,3,3,木曜日,0
6436,2024-03-29,150,176,91100,380,15100,159,53100,986,7500,466,9100,全て異なる,1,5,0,6,5,0,5,4,金曜日,0
6437,2024-04-01,603,380,63700,568,10600,311,37100,1154,5300,1455,6300,全て異なる,6,0,3,9,6,0,6,0,月曜日,0
6438,2024-04-02,440,84,86900,289,28900,202,57900,357,14400,550,8600,2桁一致,4,4,0,8,4,0,4,1,火曜日,1
6439,2024-04-03,992,112,106000,190,35300,109,70600,318,17600,457,10600,2桁一致,9,9,2,20,9,2,7,2,水曜日,1
6440,2024-04-04,965,42,137600,340,22900,113,80200,814,11400,376,13700,全て異なる,9,6,5,20,9,5,4,3,木曜日,0
6441,2024-04-05,639,75,68400,782,11400,244,39900,1923,5700,744,6800,全て異なる,6,3,9,18,9,3,6,4,金曜日,0
6442,2024-04-08,881,104,116200,271,38700,122,77400,383,19300,635,11600,2桁一致,8,8,1,17,8,1,7,0,月曜日,1
6443,2024-04-09,18,82,80300,516,13300,181,46800,1108,6600,678,8000,全て異なる,0,1,8,9,8,0,8,1,火曜日,0
6444,2024-04-10,668,48,137200,171,45700,126,91400,220,22800,449,13700,2桁一致,6,6,8,20,8,6,2,2,水曜日,1
6445,2024-04-11,627,101,84900,405,14100,216,49500,908,7000,688,8400,全て異なる,6,2,7,15,7,2,5,3,木曜日,0
6446,2024-04-12,490,423,56300,378,9300,216,32800,856,4600,479,5600,全て異なる,4,9,0,13,9,0,9,4,金曜日,0
6447,2024-04-15,89,245,57600,800,9600,370,33600,1970,4800,789,5700,全て異なる,0,8,9,17,9,0,9,0,月曜日,0
6448,2024-04-16,81,75,96700,548,16100,141,56400,1205,8000,418,9600,全て異なる,0,8,1,9,8,0,8,1,火曜日,0
6449,2024-04-17,180,115,77900,615,12900,215,45400,1314,6400,463,7700,全て異なる,1,8,0,9,8,0,8,2,水曜日,0
6450,2024-04-18,736,70,101900,349,16900,177,59400,818,8400,830,10100,全て異なる,7,3,6,16,7,3,4,3,木曜日,0
6451,2024-04-19,910,146,66200,702,11000,331,38600,1356,5500,454,6600,全て異なる,9,1,0,10,9,0,9,4,金曜日,0
6452,2024-04-22,941,105,88300,672,14700,187,51500,1580,7300,555,8800,全て異なる,9,4,1,14,9,1,8,0,月曜日,0
6453,2024-04-23,806,64,98500,435,16400,199,57400,970,8200,417,9800,全て異なる,8,0,6,14,8,0,8,1,火曜日,0
6454,2024-04-24,975,123,95700,313,15900,170,55800,777,7900,581,9500,全て異なる,9,7,5,21,9,5,4,2,水曜日,0
6455,2024-04-25,981,62,80200,604,13300,258,46700,1568,6600,346,8000,全て異なる,9,8,1,18,9,1,8,3,木曜日,0
6456,2024-04-26,279,147,62200,947,10300,347,36200,1350,5100,448,6200,全て異なる,2,7,9,18,9,2,7,4,金曜日,0
6457,2024-04-29,898,71,78400,380,26100,216,52200,552,13000,1046,7800,2桁一致,8,9,8,25,9,8,1,0,月曜日,1
6458,2024-04-30,20,83,120500,195,40100,122,80300,234,20000,431,12000,2桁一致,0,2,0,2,2,0,2,1,火曜日,1
6459,2024-05-01,907,240,73200,434,12200,188,42700,962,6100,525,7300,全て異なる,9,0,7,16,9,0,9,2,水曜日,0
6460,2024-05-02,313,100,91400,228,30400,250,60900,294,15200,435,9100,2桁一致,3,1,3,7,3,1,2,3,木曜日,1
6461,2024-05-03,666,426,78600,0,0,0,0,0,0,603,7800,ゾロ目,6,6,6,18,6,6,0,4,金曜日,2
6462,2024-05-06,827,118,83300,532,13800,265,48500,1110,6900,527,8300,全て異なる,8,2,7,17,8,2,6,0,月曜日,0
6463,2024-05-07,282,398,53200,261,17700,126,35400,433,8800,505,5300,2桁一致,2,8,2,12,8,2,6,1,火曜日,1
6464,2024-05-08,412,90,90700,411,15100,197,52900,965,7500,433,9000,全て異なる,4,1,2,7,4,1,3,2,水曜日,0
6465,2024-05-09,271,304,49800,604,8300,258,29000,1349,4100,1003,4900,全て異なる,2,7,1,10,7,1,6,3,木曜日,0
6466,2024-05-10,473,57,107500,480,17900,150,62700,1080,8900,450,10700,全て異なる,4,7,3,14,7,3,4,4,金曜日,0
6467,2024-05-13,186,115,89600,591,14900,191,52200,1234,7400,516,8900,全て異なる,1,8,6,15,8,1,7,0,月曜日,0
6468,2024-05-14,772,49,96700,289,32200,153,64400,466,16100,366,9600,2桁一致,7,7,2,16,7,2,5,1,火曜日,1
6469,2024-05-15,219,108,74100,578,12300,242,43200,1316,6100,479,7400,全て異なる,2,1,9,12,9,1,8,2,水曜日,0
6470,2024-05-16,943,212,66200,546,11000,194,38600,1117,5500,419,6600,全て異なる,9,4,3,16,9,3,6,3,木曜日,0
6471,2024-05-17,872,149,78000,534,13000,180,45500,1248,6500,470,7800,全て異なる,8,7,2,17,8,2,6,4,金曜日,0
6472,2024-05-20,156,418,53600,628,8900,238,31200,1278,4400,550,5300,全て異なる,1,5,6,12,6,1,5,0,月曜日,0
6473,2024-05-21,526,506,41600,399,6900,305,24200,914,3400,513,4100,全て異なる,5,2,6,13,6,2,4,1,火曜日,0
6474,2024-05-22,719,84,85900,392,14300,250,50100,833,7100,379,8500,全て異なる,7,1,9,17,9,1,8,2,水曜日,0
6475,2024-05-23,268,72,83600,548,13900,220,48700,1077,6900,410,8300,全て異なる,2,6,8,16,8,2,6,3,木曜日,0
6476,2024-05-24,267,70,88200,592,14700,197,51400,1271,7300,382,8800,全て異なる,2,6,7,15,7,2,5,4,金曜日,0
6477,2024-05-27,161,66,116600,273,38800,112,77700,501,19400,532,11600,2桁一致,1,6,1,8,6,1,5,0,月曜日,1
6478,2024-05-28,564,167,95200,252,15800,109,55500,593,7900,370,9500,全て異なる,5,6,4,15,6,4,2,1,火曜日,0
6479,2024-05-29,419,152,59500,511,9900,346,34700,985,4900,678,5900,全て異なる,4,1,9,14,9,1,8,2,水曜日,0
6480,2024-05-30,933,441,49300,249,16400,143,32800,398,8200,745,4900,2桁一致,9,3,3,15,9,3,6,3,木曜日,1
6481,2024-05-31,904,42,114400,350,19000,189,66700,780,9500,434,11400,全て異なる,9,0,4,13,9,0,9,4,金曜日,0
6482,2024-06-03,199,132,81700,331,27200,176,54400,491,13600,1008,8100,2桁一致,1,9,9,19,9,1,8,0,月曜日,1
6483,2024-06-04,478,59,118300,261,19700,141,69000,741,9800,453,11800,全て異なる,4,7,8,19,8,4,4,1,火曜日,0
6484,2024-06-05,712,83,80600,543,13400,222,47000,1137,6700,437,8000,全て異なる,7,1,2,10,7,1,6,2,水曜日,0
6485,2024-06-06,781,70,85500,517,14200,172,49800,1396,7100,518,8500,全て異なる,7,8,1,16,8,1,7,3,木曜日,0
6486,2024-06-07,455,69,130200,165,43400,115,86800,280,21700,593,13000,2桁一致,4,5,5,14,5,4,1,4,金曜日,1
6487,2024-06-10,760,441,65400,337,10900,115,38100,759,5400,556,6500,全て異なる,7,6,0,13,7,0,7,0,月曜日,0
6488,2024-06-11,529,404,46100,412,7600,283,26800,873,3800,617,4600,全て異なる,5,2,9,16,9,2,7,1,火曜日,0
6489,2024-06-12,788,263,69700,205,23200,126,46400,251,11600,696,6900,2桁一致,7,8,8,23,8,7,1,2,水曜日,1
6490,2024-06-13,435,62,117100,316,19500,120,68300,745,9700,417,11700,全て異なる,4,3,5,12,5,3,2,3,木曜日,0
6491,2024-06-14,632,244,71000,513,11800,141,41400,1405,5900,456,7100,全て異なる,6,3,2,11,6,2,4,4,金曜日,0
6492,2024-06-17,421,289,64600,535,10700,230,37600,1164,5300,662,6400,全て異なる,4,2,1,7,4,1,3,0,月曜日,0
6493,2024-06-18,119,430,43900,260,14600,261,29200,269,7300,687,4300,2桁一致,1,1,9,11,9,1,8,1,火曜日,1
6494,2024-06-19,665,248,83100,171,27700,110,55400,243,13800,357,8300,2桁一致,6,6,5,17,6,5,1,2,水曜日,1
6495,2024-06-20,17,83,100300,384,16700,154,58500,827,8300,402,10000,全て異なる,0,1,7,8,7,0,7,3,木曜日,0
6496,2024-06-21,668,87,118300,171,39400,126,78800,235,19700,498,11800,2桁一致,6,6,8,20,8,6,2,4,金曜日,1
