feature,importance,std
ミニ_口数,0.015503875968992244,0.0038759689922480637
百の位_lag10,0.009205426356589146,0.007736782666022923
月_8,0.007751937984496122,0.001937984496124031
一の位_last_freq_w200,0.0077519379844961205,0.007751937984496124
百の位_diff1,0.0077519379844961205,0.0054814479161747875
月_7,0.006782945736434107,0.0016783438057837987
曜日_火曜日_x_合計偶奇,0.005813953488372091,0.00474707314492864
偶数カウント,0.0058139534883720895,0.00433346507267401
四半期_3,0.005329457364341083,0.003845568766082253
百の位_十の位_pair_last_w90,0.004844961240310074,0.003752890839348271
百の位_adiff1,0.004360465116279067,0.006261069759360504
sum_15_19,0.004360465116279067,0.004082436905608699
百の位_一の位_pair_last_w200,0.0038759689922480568,0.0033566876115675936
百の位_lag8,0.0038759689922480568,0.005127425021443007
百の位_last_freq_w10,0.002906976744186043,0.0025637125107215012
曜日_金曜日_x_合計偶奇,0.0029069767441860413,0.0016783438057837929
四半期_2,0.002422480620155036,0.004722284081787291
百の位_十の位_pair_last_w30,0.0024224806201550344,0.0057937309801847844
合計偶奇,0.0019379844961240275,0.0033566876115675914
曜日_金曜日,0.0019379844961240275,0.0019379844961240275
一の位_last_freq_w10,0.0019379844961240275,0.0043334650726740125
月_12,0.0014534883720930206,0.0018764454196741327
月_3,0.0009689922480620138,0.0016783438057837929
月_5,0.0009689922480620138,0.0016783438057837929
sum_10_14,0.000968992248062012,0.004647123569101475
月_2,0.000968992248062012,0.0025637125107215012
合計mod3,0.0009689922480620103,0.0057326354487399365
sum_20_24,0.0004844961240310069,0.0012818562553607489
百の位_lag4,0.0004844961240310034,0.007363703562776485
一の位_gap_same_w300,0.0,0.0
一の位_gap_same_w200,0.0,0.0
一の位_gap_same_w100,0.0,0.0
ゾロ目,0.0,0.0
曜日_金曜日_x_ゾロ目,0.0,0.0
月_6,0.0,0.0
百の位_gap_same_w200,0.0,0.0
曜日_火曜日_x_ゾロ目,0.0,0.0
曜日_月曜日_x_ゾロ目,0.0,0.0
曜日_水曜日_x_ゾロ目,0.0,0.0
百の位_gap_same_w100,0.0,0.0
百の位_gap_same_w300,0.0,0.0
曜日_木曜日_x_ゾロ目,0.0,0.0
曜日_木曜日_x_合計偶奇,0.0,0.0
月_9,-1.734723475976807e-18,0.0033566876115675897
百の位_lag3,-1.734723475976807e-18,0.009294247138202948
曜日_火曜日,-3.469446951953614e-18,0.0038759689922480637
曜日_水曜日_x_合計偶奇,-3.469446951953614e-18,0.0027407239580873933
四半期_4,-0.0004844961240310086,0.0012818562553607536
一の位_lag9,-0.0004844961240310086,0.0049170986264981675
sum_ge25,-0.0009689922480620172,0.0016783438057837987
曜日_月曜日_x_合計偶奇,-0.0009689922480620172,0.0016783438057837987
月_1,-0.000968992248062019,0.002563712510721504
月_4,-0.000968992248062019,0.002563712510721504
百の位_一の位_pair_last_w50,-0.001453488372093024,0.00269756025330912
sum_lt10,-0.001453488372093024,0.00269756025330912
百の位_一の位_pair_last_w90,-0.0019379844961240345,0.0051274250214430024
曜日_木曜日,-0.0024224806201550413,0.0026975602533091205
百の位_一の位_pair_last_w30,-0.0024224806201550413,0.003845568766082253
一の位_lag6,-0.002906976744186048,0.0050350314173513875
曜日_水曜日,-0.00290697674418605,0.002563712510721504
百の位_lag2,-0.0033914728682170586,0.007614454285611293
ダブル,-0.0033914728682170603,0.0012818562553607536
一の位_lag5,-0.0038759689922480654,0.0072512740053758545
曜日_月曜日,-0.0038759689922480654,0.004747073144928643
ミニ_金額,-0.004360465116279072,0.006261069759360507
最大-最小,-0.004360465116279072,0.004082436905608702
一の位_lag10,-0.004360465116279074,0.008092680759927357
月_11,-0.004360465116279076,0.0012818562553607489
ストレート_口数,-0.004844961240310083,0.007442970685919194
一の位_last_freq_w90,-0.004844961240310083,0.0032137837115846905
百の位_last_freq_w30,-0.005329457364341088,0.006695869651688592
一の位_lag3,-0.0053294573643410895,0.0057937309801847844
百の位_十の位_pair_last_w200,-0.005813953488372095,0.0047470731449286395
一の位_lag8,-0.005813953488372098,0.008666930145348022
一の位_lag4,-0.006298449612403103,0.011778338935216294
最大,-0.006298449612403105,0.005459994025961551
最小,-0.006298449612403105,0.0038455687660822547
百の位_last_freq_w90,-0.006298449612403105,0.002697560253309118
百の位_lag6,-0.00678294573643411,0.0050350314173513875
四半期_1,-0.006782945736434112,0.0037528908393482732
一の位_adiff1,-0.007751937984496126,0.007505781678696544
月_10,-0.007751937984496127,0.0027407239580873933
百の位_lag5,-0.007751937984496129,0.009294247138202946
百の位_last_freq_w50,-0.007751937984496129,0.0043334650726740125
百の位_lag9,-0.008236434108527134,0.005285228737711101
一の位_diff1,-0.008236434108527136,0.009964614244768959
百の位_十の位_pair_last_w50,-0.009689922480620158,0.003356687611567592
一の位_last_freq_w30,-0.009689922480620158,0.00433346507267401
一の位_last_freq_w50,-0.010174418604651165,0.0054599940259615525
一の位_expfreq_l100_a006,-0.010174418604651165,0.009481776061424866
百の位_last_freq_w200,-0.010658914728682174,0.011587461960369569
一の位_lag2,-0.010658914728682174,0.007691137532164509
一の位_lag7,-0.012112403100775196,0.004917098626498168
ストレート_金額,-0.01356589147286822,0.011132873346003934
百の位_lag7,-0.014050387596899227,0.008867735086106165
百の位_expfreq_l100_a006,-0.01792635658914729,0.006409281276803756
合計,-0.0184108527131783,0.008827939514674709
