feature,importance,std
百の位_last_freq_w200,0.01986434108527131,0.003593119422042475
ミニ_口数,0.017926356589147284,0.007490128310920691
百の位_expfreq_l100_a006,0.017441860465116275,0.00698750247182944
百の位_lag2,0.017441860465116275,0.006427567423169382
十の位_一の位_pair_last_w50,0.016957364341085267,0.008867735086106165
十の位_lag2,0.016472868217054258,0.010208966814779785
十の位_lag9,0.01598837209302325,0.00562933625902241
最大-最小,0.015019379844961236,0.005629336259022407
最小,0.014050387596899224,0.004722284081787289
百の位_lag7,0.01405038759689922,0.015736804039643133
百の位_lag8,0.013565891472868215,0.0061284450778456975
十の位_adiff1,0.013081395348837208,0.0051044834073898935
十の位_lag10,0.013081395348837207,0.005459994025961554
合計mod3,0.0125968992248062,0.00321378371158469
百の位_一の位_pair_last_w50,0.012112403100775191,0.00562933625902241
百の位_一の位_pair_last_w30,0.011627906976744182,0.005481447916174786
十の位_lag4,0.01162790697674418,0.006427567423169381
十の位_expfreq_l100_a006,0.011143410852713174,0.007104107702817433
百の位_一の位_pair_last_w200,0.011143410852713174,0.005285228737711103
ストレート_口数,0.01017441860465116,0.007736782666022921
sum_10_14,0.009689922480620153,0.003875968992248063
十の位_一の位_pair_last_w30,0.009689922480620151,0.0033566876115675914
十の位_一の位_pair_last_w200,0.009205426356589143,0.006109263669049656
十の位_lag5,0.009205426356589143,0.007736782666022921
百の位_diff1,0.008720930232558134,0.006354107097191861
十の位_last_freq_w30,0.008236434108527129,0.0052852287377111
百の位_lag4,0.008236434108527129,0.009774341570655045
月_1,0.008236434108527129,0.0035931194220424696
四半期_3,0.008236434108527127,0.004082436905608702
十の位_last_freq_w90,0.008236434108527127,0.004082436905608699
十の位_一の位_pair_last_w90,0.008236434108527127,0.00785720675398588
百の位_十の位_pair_last_w90,0.008236434108527126,0.007104107702817431
sum_15_19,0.008236434108527126,0.004519078998589544
最大,0.007751937984496122,0.0033566876115675936
百の位_last_freq_w30,0.0077519379844961205,0.0038759689922480637
ミニ_金額,0.007267441860465114,0.00710410770281743
百の位_lag6,0.007267441860465112,0.007363703562776486
四半期_1,0.006782945736434105,0.00464712356910147
百の位_lag5,0.006782945736434105,0.007186238844084946
百の位_lag9,0.0067829457364341015,0.013531240352489286
百の位_last_freq_w50,0.006298449612403098,0.007975812806760818
四半期_2,0.006298449612403098,0.004306295744823446
ストレート_金額,0.0058139534883720895,0.008880960649139224
曜日_木曜日_x_合計偶奇,0.005813953488372088,0.0027407239580873946
合計,0.005329457364341083,0.008207884857605338
偶数カウント,0.005329457364341081,0.0064092812768037554
百の位_last_freq_w90,0.005329457364341081,0.008867735086106169
月_7,0.004844961240310074,0.002563712510721504
百の位_十の位_pair_last_w50,0.004844961240310074,0.005395120506618238
十の位_last_freq_w10,0.004844961240310074,0.006051354649610851
曜日_月曜日_x_合計偶奇,0.004844961240310072,0.003213783711584689
曜日_月曜日,0.004360465116279067,0.004082436905608699
百の位_一の位_pair_last_w90,0.004360465116279064,0.0049170986264981675
sum_20_24,0.003875968992248055,0.0
十の位_diff1,0.0033914728682170516,0.00917989114413586
百の位_adiff1,0.0033914728682170516,0.006261069759360506
曜日_木曜日,0.0033914728682170516,0.0030256773248054252
十の位_lag6,0.0033914728682170516,0.006834658904876883
十の位_lag7,0.00339147286821705,0.009774341570655045
百の位_lag3,0.002906976744186043,0.006643076163179308
百の位_lag10,0.002906976744186043,0.009641351134754074
四半期_4,0.002906976744186043,0.0037528908393482732
十の位_last_freq_w200,0.002422480620155036,0.005459994025961553
十の位_lag8,0.0024224806201550344,0.007490128310920689
曜日_水曜日,0.0019379844961240275,0.0033566876115675914
百の位_十の位_pair_last_w200,0.0019379844961240275,0.005127425021443005
曜日_金曜日_x_合計偶奇,0.001453488372093019,0.002697560253309118
十の位_lag3,0.0009689922480620138,0.012671217859129863
合計偶奇,0.0009689922480620138,0.004223739286376621
月_6,0.0009689922480620138,0.0016783438057837929
月_5,0.0009689922480620138,0.0016783438057837929
月_11,0.0009689922480620138,0.0016783438057837929
月_9,0.000968992248062012,0.0025637125107215012
月_3,0.0004844961240310069,0.0012818562553607489
月_4,0.0004844961240310069,0.0012818562553607489
曜日_水曜日_x_ゾロ目,0.0004844961240310069,0.0012818562553607489
sum_ge25,0.0004844961240310069,0.0012818562553607489
sum_lt10,0.00048449612403100514,0.002323561784550735
曜日_金曜日,0.00048449612403100514,0.0052852287377111035
十の位_last_freq_w50,0.0004844961240310034,0.007857206753985881
曜日_月曜日_x_ゾロ目,0.0,0.0
ゾロ目,0.0,0.0
十の位_gap_same_w200,0.0,0.0
十の位_gap_same_w300,0.0,0.0
十の位_gap_same_w100,0.0,0.0
百の位_gap_same_w300,0.0,0.0
曜日_木曜日_x_ゾロ目,0.0,0.0
百の位_gap_same_w100,0.0,0.0
百の位_gap_same_w200,0.0,0.0
曜日_金曜日_x_ゾロ目,0.0,0.0
曜日_火曜日_x_ゾロ目,0.0,0.0
月_10,-0.00048449612403101035,0.0023235617845507373
月_2,-0.00048449612403101035,0.0023235617845507373
月_12,-0.0004844961240310121,0.0030256773248054257
月_8,-0.000968992248062019,0.002563712510721504
ダブル,-0.0014534883720930276,0.00472228408178729
百の位_last_freq_w10,-0.003391472868217057,0.004917098626498168
曜日_水曜日_x_合計偶奇,-0.0033914728682170603,0.0012818562553607536
百の位_十の位_pair_last_w30,-0.0038759689922480637,0.003356687611567592
曜日_火曜日,-0.004360465116279076,0.004917098626498169
曜日_火曜日_x_合計偶奇,-0.007267441860465119,0.002323561784550735
