抽せん日,番号,rank,joint_prob,expected_payout,price,EV_gross,EV_net,百,十,一,候補_3桁,feature_set,model_name
2025-11-03,190,1,0.0033625234214126,302.62710792713403,200.0,302.62710792713403,102.62710792713403,1,9,0,190,V5_joint,CalibratedJoint
2025-11-03,693,2,0.002716357354154,244.47216187386,200.0,244.47216187386,44.47216187385999,6,9,3,693,V5_joint,CalibratedJoint
2025-11-03,637,3,0.0024657407663906,221.916668975154,200.0,221.916668975154,21.91666897515401,6,3,7,637,V5_joint,CalibratedJoint
2025-11-03,804,4,0.0024652726798882,221.87454118993801,200.0,221.87454118993801,21.874541189938014,8,0,4,804,V5_joint,CalibratedJoint
2025-11-03,490,5,0.0024626488074051,221.63839266645897,200.0,221.63839266645897,21.63839266645897,4,9,0,490,V5_joint,CalibratedJoint
2025-11-03,072,6,0.0024555839902797,221.002559125173,200.0,221.002559125173,21.002559125173008,0,7,2,072,V5_joint,CalibratedJoint
2025-11-03,518,7,0.002440396567098,219.63569103882,200.0,219.63569103882,19.63569103882,5,1,8,518,V5_joint,CalibratedJoint
2025-11-03,621,8,0.0024264764864948,218.382883784532,200.0,218.382883784532,18.382883784531998,6,2,1,621,V5_joint,CalibratedJoint
2025-11-03,461,9,0.0024254928192906,218.294353736154,200.0,218.294353736154,18.294353736153994,4,6,1,461,V5_joint,CalibratedJoint
2025-11-03,601,10,0.002411789056259,217.06101506331,200.0,217.06101506331,17.06101506331001,6,0,1,601,V5_joint,CalibratedJoint
2025-11-03,185,11,0.0024077620620097,216.698585580873,200.0,216.698585580873,16.698585580872987,1,8,5,185,V5_joint,CalibratedJoint
2025-11-03,090,12,0.0023998425570262,215.985830132358,200.0,215.985830132358,15.98583013235799,0,9,0,090,V5_joint,CalibratedJoint
2025-11-03,086,13,0.0023942751745663,215.48476571096703,200.0,215.48476571096703,15.484765710967025,0,8,6,086,V5_joint,CalibratedJoint
2025-11-03,394,14,0.0023908302065928,215.17471859335203,200.0,215.17471859335203,15.174718593352026,3,9,4,394,V5_joint,CalibratedJoint
2025-11-03,849,15,0.0023618385725134,212.565471526206,200.0,212.565471526206,12.56547152620601,8,4,9,849,V5_joint,CalibratedJoint
2025-11-03,275,16,0.0023577855943535,212.20070349181498,200.0,212.20070349181498,12.200703491814977,2,7,5,275,V5_joint,CalibratedJoint
2025-11-03,491,17,0.0022573547345392,203.16192610852798,200.0,203.16192610852798,3.161926108527979,4,9,1,491,V5_joint,CalibratedJoint
2025-11-03,279,18,0.0022478890293358,202.31001264022203,200.0,202.31001264022203,2.310012640222027,2,7,9,279,V5_joint,CalibratedJoint
2025-11-03,194,19,0.0022465108590907,202.18597731816297,200.0,202.18597731816297,2.185977318162969,1,9,4,194,V5_joint,CalibratedJoint
2025-11-03,439,20,0.0022106294445573,198.95665001015698,200.0,198.95665001015698,-1.0433499898430227,4,3,9,439,V5_joint,CalibratedJoint
2025-11-03,404,21,0.0021633759415638,194.703834740742,200.0,194.703834740742,-5.296165259258004,4,0,4,404,V5_joint,CalibratedJoint
